pays,ville,nom,poste
Germany,Berlin,Long Night of Museums Berlin,Online Management
United Kingdom,Oxford,Oxford University Museums and Collections Outreach Service,Community Education Officer
Canada,Picton,Museums of Prince Edward County,Head Curator
Germany,Berlin,Museumsportal Berlin,Redaktion
Germany,Berlin,Internationale Museumday (Germany),Social Media Manager 
Russia,Lermontovo,Museum Tarhany,научный сотрудник
France,Toulouse,Muséum de Toulouse,Webmaster/ Community Manager
Germany,Trier,Stadtmuseum Simeonstift Trier,Press- und Öffentlichkeitsarbeit
Spain,Barcelona,Museu de la Música de Barcelona,Librarian
Australia,Melbourne,Museum Victoria,"Brand Manager, Family Audiences"
Spain,Barcelona,Museu Nacional d'Art de Catalunya,Head of Strategy and Communication
Brasil,São Paulo,Museu Paulista da USP,Assessor de Imprensa
Spain,Barcelona,Museu Picasso Barcelona,Gestión de redes sociales
Brasil,São Paulo,Pinacoteca do Estado de São Paulo,marketing
Brasil,Piracicaba,Museu Histórico da Portuguesa ,Assistente de Ação Educativa e Programação
Brasil,Rio de Janeiro,Superintedência de Museus/SEC-RJ,Gerente de Conteúdo
Brasil,São Paulo,Museu da Obra Salesiana no Brasil,Técnica em museologia - Comunicação e Educativo
Spain,Banyoles,Museus de Banyoles,Curator
Brasil,Brasília,Instituto Brasileiro de Museus - Ibram,Jornalista (Analista I)
Spain,Esplugues de Llobregat, Museus d'Esplugues,Tècnica de difusió i activitats
Spain,Olot,Museus d'Olot,Responsable de comunicación
Spain,Amposta,Museu de les Terres de l'Ebre,Técnico de comunicación
Brasil,São Paulo,Museu Vicente de Azevedo,Museóloga
Spain,L'Espluga de Francolí,Museu de la Vida Rural,Conservador i gestor cultural
Spain,Valencia,Valencia History Museum,Community Manager
France,Lyon,Musée de l'imprimerie et de la communication graphique,Chargée de la communication 
France,Orthez,Musée Jeanne d'Albret,Chargée de conservation du patrimoine
Italy,Torino,MUSLI - Museo della Scuola e del Libro per l'Infanzia,Supporto al Coordinamento Didattico
Denmark,Herning,Museum Midtjylland,Curator
United States,Los Angeles,Museum of Tolerance,Social Media
Spain,Valencia,MuVIM,Comunicación
Russia,Orenburg,      The collections  English version  Orenburg Regional Museum of Fine Arts,Researcher
Turkey,Istanbul ,MMKD,General Secretary 
Slovenia,Maribor,National Liberation Museum Maribor,director
Slovenia,Ljubljana,National Museum of Contemporary History,"curator, working on a European project EMEE: EuroVision - Museums Exhibiting Europe"
Serbia,Paraćin,"Hometown museum ""Paracin""","Director, archaeologist"
Latvia,Riga,"Art Museum ""Riga Bourse""","Communication Specialist of the Art Museum ""Riga Bourse"""
Croatia,Trogir,Trogir Town Museum,PR & promotion associate
Poland,Krakow,Museum of Eroticism,Co-founder
Slovakia,Martin,Slovak National Museum in Martin,cultural manager
Poland,Pruszkow,The Stefan Woyda Museum of Ancient Mazovian Metallurgy in Pruszkow,Public Relations Specialist
Ukraine,Melitopol,Melitopol' Museum Of Local Lore,младший научный сотрудник
France,Paris,Maisons de Victor Hugo,chargée de communication
Spain,Vilanova i la Geltrú,Biblioteca Museu Víctor Balaguer,Comunicación
Russia,Istra,"Museum ""New Jerusalem""",Editor
France,Paris ,musée de la vie romantique ,Chargée du service presse et communication
Venezuela,Maracaibo,Museo Virtual del Zulia,Presidente
United States,Utica,Munson-Williams-Proctor Arts Institute,School Programs Coordi
Sweden,Stockholm,The Royal Coin Cabinet,Communcations manager
France,Paris,MyOwnArtGallery,Directrice Générale
Ukraine,Kyiv,Mystetskyi Arsenal,social media manager
United States,Mystic,Mystic Seaport ,Web Content Manager
United Kingdom,Edinburgh,The National Trust for Scotland,Digital Marketing Manager
United States,Wilberforce,The National Afro-American Museum and Cultural Center,archivist (volunteer)
Japan,Tokyo,"The National Art Center, Tokyo",広報担当
Japan,Nagasaki,Nagasaki Prefectural Art Museum,広報マーケティンググループ
Japan,Onomichi,Nakata Museum,学芸員
United Kingdom,London,National Army Museum,Digital Marketing Apprentice
Ukraine,Kyiv,National Art Museum of Ukraine,research scientist
Canada,Nanaimo,Nanaimo Museum,Communications & Rental Coordinator
France,Nantes,Muséum d'histoire naturelle,Chargé de communication
United Kingdom,Nantwich,Nantwich Museum,Manager
France,Brienne-le-Château,Musée Napoléon,Conseillère en séjour
Japan,Nara,Nara National Museum,学芸部研究員
Italy,Narni,Associazione Culturale Subterranea,dipendente
Serbia,Belgrade,National museum in Belgrade,Curator
Armenia,Yerevan ,ArmGeoMuseum,Guide
United States,Durham,Nasher Museum of Art at Duke University,Director of Engagement and Marketing
United States,Dallas,Nasher Sculpture Center,PR and Social Media Coordinator
United Kingdom,Edinburgh,National Galleries of Scotland,Press Officer
Australia,Canberra,National Gallery of Australia,Online Content Producer
United Kingdom,Burton on Trent,The National Brewery Centre,Marketing Coordinator
United Kingdom,London,The National Gallery,eCRM and Social Media Executive
United States,New York City,National Academy Museum and School,Communications 
United States,Baltimore,National Aquarium,Social Media Strategist
Australia,Adelaide,National Motor Museum,Director
Ireland,Dublin ,National Print Museum ,Manager
United States,Raleigh,North Carolina Museum of Natural Sciences,Coordinator of Virtual Educatoin
United States,Chicago,Peggy Notebaert Nature Museum,Web & Social Media Coordinator
Luxembourg,Luxembourg,Musée national d'histoire naturelle,Responsable Communication et Relations publiques
Australia,Geelong ,National Wool Museum ,Director 
United States,Boston,Norman B. Leventhal Map Center,Exhibition research and Curatorial Assistant
Canada,Saint-John,New Brunswick Museum,Marketing and Communications Assistant
Russia,Moscow,National Centre for Contemporary Arts (NCCA),PR Manager
United States,Abilene,The National Center for Children's Illustrated Literature,Gallery Coordinator
United Kingdom,Nottingham,National Centre for Citizenship and the Law,Deputy Marketing Manager
United States,Raleigh,N.C. Department of Cultural Resources,Web Content Manager
South Korea,Jejusi,NexonComputerMuseum,"Marketing & Communication, Team Manager"
United Kingdom,Nottingham,Nottingham City Museums & Galleries,Volunteer Programme Co-ordinator
Germany,Mettmann,Neanderthal Museum ,Marketing 
Japan,Awaji Island,"Nakahama Minoru's Cat Art Museum"" A museum of Awaji City Awaji Island",副館長
United Kingdom,Monmouth,The Nelson Museum & Local History Centre Monmouth,Museums Fundraising Officer
Netherlands,Amsterdam,Science Center NEMO,Marketing & Communications
United Kingdom,Sheffield,National Emergency Services Museum,Director
United States,New York City,Neue Galerie New York,Communications Director
United States,Newark,Museum Newark,public relations manager
United States,New Haven,New Haven Museum,Director of Education and Visitor Experience
United States,New York City,New Museum of Contemporary Art,Press and Social Media Manager
United Kingdom,Newport,Newport Museum & Art Gallery,Community Engagement Officer
United States,West Michigan,New Richland Museum,Assistant Curator 
United States,"Washington, D.C.",Newseum,Marketing Communications Manager
United States,"Washington, D.C.",Newseum (Education),Museum Educator
United Kingdom,Nottingham,Newstead Abbey,Commercial Development Officer
Japan,Tokyo,Nezu Museum,学芸部　広報課
United States,"Washington, D.C.",National Gallery of Art,Senior Digital Outreach Producer
United States,Baltimore,The National Great Blacks In Wax Museum ,Consultant
United Kingdom,Sunderland,National Glass Centre,Marketing and Communications Co-ordinator
Ireland,Dublin,National Gallery of Ireland,Digital Assistant
Japan,Nagasaki,Nagasaki Museum of History and Culture,広報
Australia,Melbourne,National Gallery of Victoria,Digital Community Coordinator
United Kingdom,London,Natural History Museum,Curator of Fossil Invertebrates
United Kingdom,London,Natural History Museum,Curator of Fossil Invertebrates
United Kingdom,London,Natural History Museum,Community and Social Media Executive
United Kingdom,Tring,Natural History Museum at Tring,Learning and events officer
Austria,Wien,Naturhistorisches Museum Wien,Pressereferentin
United Kingdom,London,Wildlife Photographer of the Year,Communications Manager
United Kingdom,London,"Natural History Museum, London",Curator of Palaeobotany
United Kingdom,Newmarket,National Horseracing Museum,Project and Development Officer
Canada,Niagara-on-the-Lake,Niagara Historical Society & Museum,Managing Director
Japan,Ugawara-cho chūō,Living National Treasures' Museum ,副館長兼主任学芸員
France,Niort,Musée Bernard d'Agesci,Chargée de communication
United Kingdom,Belfast,Northern Ireland War Memorial,Museum Administrator
Russia,Nizhniy Novgorod ,Nizhgma ,Директор музея Нижегородской Медицинской Академии
Canada,Saint-John's,Johnson GEO Centre,Interpreter
Australia,Canberra,National Museum of Australia,Social Media Coordinator
United States,"Washington, D.C. ",Smithsonian National Museum of African American History and Culture,Social Media Specialist 
Ireland,Dublin,National Museum of Ireland,Digital Administration
United Kingdom,London,National Maritime Museum,Digital Marketing Officer
India,New Delhi,National Museum,Outreach Consultant
United States,"Washington, D.C.",Smithsonian's National Museum of Natural History,Social Media Manager
United Kingdom,Norwich,Norfolk Museums Service,Collections Documentation Officer
Sweden,Stockholm,Nobelmuseum,Press and Marketing Manager
Norway,Oslo,Nobel Peace Center,Information consultant
Mexico,México,NodoCultura,Researcher
United States,New York City,The Noguchi Museum ,Director of Admin & External Affairs
United Kingdom,Edinburgh,NOMAD EXHIBITIONS,International Partnerships Director
Brasil,Canoas,No Mundo com a Gente,Escritora
Sweden,Stockholm,Nordiska museet,Digital navigator
United States,Spokane,Northwest Museum of Arts & Culture,Visitor Services
United Kingdom,Runcorn,Norton Priory Museum & Gardens,Interpretation Officer
United Kingdom,Norwich,Norwich Castle Museum,Digital Services Coordinator
Canada,Norwich,Norwich & District Historical Society,Board Member
United Kingdom,Norwich,Norwich Heritage Economic & Regeneration Trust (HEART),Communications 
France,Paris,Cathédrale Notre-Dame de Paris,Responsable de la communication
United Kingdom,Nottingham,Nottingham Castle,Commercial Development Officer
United States,"Washington, D.C.",Smithsonian's National Portrait Gallery,Public Affairs Assistant
United Kingdom,London,National Portrait Gallery,Digital Communications Officer
United States,Newbury Park,Stagecoach Inn Museum,Docent
United States,Newport,Newport Restoration Foundation,Marketing Assistant
Canada,Yellowknife,Prince of Wales Northern Heritage Centre,Exhibit Planner
Canada,Halifax,Maritimum Museum of Atlanticum,Marketing & Events Officer
Canada,Nova Scotia,Nova Scotia Museum,Online Marketing Officer
United Kingdom,London,2 Willow Road,Visitor Experience Coordinator
United Kingdom,Knowle,Baddesley Clinton - National Trust,Assistant Conservation and Engagement Manager
United Kingdom,London,Fenton House & Garden,Visitor Experience Coordinator
United Kingdom,Edinburgh,National Museum of Scotland,Digital Media Content Manager
United Kingdom,Edinburgh,The National Trust for Scotland,Registrar
United Kingdom,Edinburgh,The National Trust for Scotland,Head of Learning
United Kingdom,Edinburgh,National Trust for Scotland Volunteering Department,Volunteer Coordinator
United Kingdom,Southwell,National Trust - The Workhouse,Visitor Experience Manager
United States,Albuquerque,The National Museum of Nuclear Science & History,Graphic Design & Marketing Associate
United Kingdom,Ellesmere Port Cheshire,Canal & River Trust National Waterways Museum,Marketing & Communications Manager
United States,Albany,New York State Museum,Manager of Media Relations and Marketing
United States,New York City,New York Transit Museum,Press Aide
New Zealand,Wellington,New Zealand Cricket Museum,Director
United States,Oakland,Oakland Museum of California,Marketing & Communications Coordinator
Germany,Feucht,Hermann-Oberth-Raumfahrt-Museum,Öffentlichkeitsarbeit
France,Brest,Océanopolis,Directrice de la Communication
Germany,Oldenburg,Oldenburger Computer-Museum,1. Vorsitzender
United States,Walhalla,Oconee Heritage Center,Assistant Curator
United States,"Washington, D.C.",Octagon Museum,Manager
France,Dijon,Orchestre Dijon Bourgogne,Chargée de communication
United States,New Orleans,The Ogden Museum of Southern Art,Communications Intern
Canada,Winnipeg,OGNWO Polish Museum Society Inc. ,President
Japan,Kurashiki,Ohara Museum of Art,広報担当
United Kingdom,Warwick,Warwickshire Museum,Curator of Natural Sciences
United States,Oklahoma City,Oklahoma City Museum of Art,Marketing & Communications Associate
France,Paris,Okerbay,CEO
Canada,Whitehorse,Old Log Church Museum,Executive Director
United States,Pawtucket,Slater Mill,Director of Programs and Events
Australia,Melbourne,Old Treasury Building Museum,Social Media Officer
France,Oloron Sainte-Marie,Service Patrimoine Mairie ,Responsable Service Patrimoine
Switzerland,Lausanne,The Olympic Museum,Community manager
United Kingdom,Dunfermline,Dunfermline Carnegie Library and Galleries,Research & Activities Assistant
Spain,Madrid,ONCE,Social Media Manager
France,Alfortville,Orchestre national d'Île-de-France,Chargée des éditions
United States,Syracuse,Onondaga Historical Association,Development Officer
Canada,Peterborough,Peterborough Museum & Archives,Programming Assistant
France,Montpellier,Opéra Orchestre national Montpellier Languedoc-Roussillon,Community Manager
Japan,Oita,Oita Prefectural Art Museum,教育普及グループ
Italy,Bressanone,Open City Museum,Art Director
Netherlands,Arnhem,Nederlands Openluchtmuseum,PR officer
France,Paris,Théâtre National de l'Opéra Comique,Chargée de communication multimédia
France,Nancy,Opéra national de Lorraine,Chargée du développement des publics
France,Paris,Opéra national de Paris,Social media manager de l'Opéra national de Paris
France,Rennes,Opéra de Rennes,Community Manager
France,Rouen,Opéra de Rouen Haute-Normandie,Chargée de communication
Italy,Roma,Teatro dell'Opera di Roma,Ufficio Comunicazione / Servizio Edizione
Italy,Firenze,Opera Santa Maria Novella,Museum Interpretation Developer
France,Paris,Opium-Art,Président
France,Nouméa,Office des Postes et Télécommunications de Nouvelle-Calédonie,Chargé de communication
France,Paris,Orchestre de chambre de Paris,Chargée de relations publiques et de communication online
France,Paris,Association Française des Orchestres,Chargée de Production et de Communication
Belgium,Liège,Orchestre Philharmonique Royal de Liège,Délégué à la Communication et au Marketing
France,Poitiers,Orchestre Poitou-Charentes,Chargée de communication et actions culturelles
France,Le Bourget-du-Lac,Orchestre des Pays de Savoie,Chargée de communication
United States,Newport,Oregon Coast Aquarium,Public Relations Coordinator
Russia,Moscow,Oriental Museum ,Assistant of Head of Advertising and Development Department 
Italy,Ferrara,Università di Ferrara,Docente a contratto
Spain,Zaragoza,EMOZ,Director
South Africa,Johannesburg,Origins Centre Museum,Marketing manager
Canada,Orillia,Orillia Museum of Art & History,Museum Assistant
United Kingdom,Kirkwall,"Orkney Islands Council Arts, Museums & Heritage","Arts, Museums & Heritage Service Managet"
United Kingdom,Greenwich,Old Royal Naval College,Marketing Manager
United States,Champaign,Orpheum Children's Science Museum,Museum Associate 
Canada,Oshawa,Oshawa Community Museum,Community Engagement
Canada,Montréal,Musée de l'Oratoire Saint-Joseph du Mont-Royal,conseillère en communication
United Kingdom,Oswestry,Oswestry Town Museum,Curatorial Volunteer
Spain,Madrid,OtrosMuseos,Social Media Manager
Japan,Naruto,OTSUKA MUSEUM OF ART,係
Japan,Kyoto,Oukoku Bunko,代表理事
France,La Roche-sur-Yon,MUSEE DU CHOCOLAT ,COMMUNITY MANAGER
United States,Federal Way,Pacific Bonsai Museum,Museum Coordinator
Brasil,São Paulo,Paço das Artes,Assessora de imprensa
Brasil,Recife,Paço do Frevo,Coordenadora de Comunicação Criativa
